ID	subset	status	action	accession	PMID	title	quote	URL	note
COHO:0000003	EGA	NOT FOUND	removed from subset						"No EGA study uses AddNeuroMed. EGA site search: ""AddNeuroMed Cohort"" 0, AddNeuroMed 0, InnoMed 0, ""Add Neuro Med"" 0, ANM 1 (EGAS00001004947, ANM = age at natural menopause, not this cohort); EBI Search EGA: AddNeuroMed 0, ""AddNeuroMed Cohort"" 0; local ega_studies/ega_study_cohorts: 0. Titles of all EGA studies found by Alzheimer (26), Alzheimer's (30), mild cognitive impairment (9) and dementia (51) checked: none mention it. Europe PMC papers that name AddNeuroMed and cite an EGA accession cite other cohorts' studies (PMID:31806903 cites EGAS00001002555 INTERVAL pQTLs; PMID:33627629 cites EGAS00001003424 GR@ACE). EGA subset membership looks mistaken."
COHO:0000004	EGA	NOT FOUND	removed from subset						"No EGA study uses the APC trial. EGA site search: ""Adenoma Prevention with Celecoxib trial"" 0, ""Adenoma Prevention with Celecoxib"" 0, ""APC Trail"" 0, celecoxib 4 (only EGAS00001004160, a neoadjuvant immunotherapy study), APC 30 (all the APC gene/familial adenomatous polyposis, none the trial); EBI Search EGA: full names 0, celecoxib 2 (neither this trial), APC 61 (none the trial); Europe PMC papers citing an EGA accession: ""Adenoma Prevention with Celecoxib"" 0, ""APC trial"" AND celecoxib 0; local tables 0. EGA subset membership looks mistaken."
COHO:0000005	EGA	FOUND	example added	EGAS00001002123	PMID:28053049	Genome-wide association study with additional genetic and post-transcriptional analyses reveals novel regulators of plasma factor XI levels.	tested for association with expression levels of nearby genes (defined as located within 500 Mbp in both directions) in a total of 211 human liver samples obtained from the Advanced Study of Aortic Pathology (ASAP) study	https://pmc.ncbi.nlm.nih.gov/articles/PMC5703348/	Paper of EGA study EGAS00001002123 (the EGA record lists PMID 28053049); full name matches and the paper describes ASAP as aortic valve/ascending aortic surgery patients at Karolinska, as in the definition. ASAP liver samples were used in the eQTL follow-up; the EGA dataset itself holds the FXI GWAS meta-analysis summary data (ARIC, GHS, MARTHA, PROCARDIS). Only EGA hit: EGA site/EBI Search have 0 hits for the full name; the only ASAP study on the EGA site (EGAS50000001689) is Aligning Science Across Parkinson's.
COHO:0000006	EGA	FOUND	example added	EGAS00001002482		H3Africa - Genomic and Environmental Risk Factors for Cardiometabolic Disease in Africans	The phenotypic data for ~12500 samples of the AWI-Gen Phase 1 Population cross-sectional study of older adults (mostly between 40 and 60 years), men and women. Six study sites in four sub-Saharan African counties including Ghana, Burkina Faso, Kenya and South Africa.	https://ega-archive.org/studies/EGAS00001002482	Local candidate confirmed: AWI-Gen's own EGA study (description: 'The long-term vision of the AWI-Gen Collaborative Centre...'); quote is from the dataset EGAD00001006425 listed on the study page; countries match the definition. The record lists 40 publications, so no single study paper is given.
COHO:0000007	EGA	FOUND	example added	EGAS00001001017	PMID:22763110	Identification of new susceptibility loci for osteoarthritis (arcOGEN): a genome-wide association study.	The arcOGEN UK nationwide consortium has been funded by the arc to undertake a genome-wide association scan in osteoarthritis. GWA genotyping has been carried out at the Sanger on the illumina 610k array.	https://ega-archive.org/studies/EGAS00001001017	Local candidate confirmed: arcOGEN's own released EGA study; datasets are 'osteoarthritis cases ... from the arcOGEN Consortium'. PMID is the arcOGEN GWAS, first of the 7 publications the EGA record lists. The other local candidate EGAS00001000914 is also arcOGEN but still pending release.
COHO:0000008	EGA	NOT FOUND	removed from subset						"No EGA study uses the Asian Cancer Project. EGA site search: ""Asian Cancer Project"" 0, ACP 2 (neither breast cancer/Thailand), ""Breast Cancer Association Consortium"" 1 and BCAC 1 (EGAS50000001477, European-descent patients only), iCOGS 0 EGAS, OncoArray 6 EGAS (no breast-cancer case-control collection from Thailand); EBI Search EGA: ""Asian Cancer Project"" 0, ACP 6 (none relevant); Europe PMC papers citing an EGA accession: ""Asian Cancer Project"" 0, breast cancer Thailand 5 and Thai breast 4 (all unrelated); local tables 0. EGA subset membership looks mistaken."
COHO:0000009	EGA	NOT FOUND	removed from subset						"No EGA study uses the AAA trial. EGA site search: ""Aspirin for Asymptomatic Atherosclerosis Study"" 0, ""Aspirin for Asymptomatic Atherosclerosis"" 0, aspirin asymptomatic atherosclerosis 0, aspirin Scotland 0, ankle brachial index 9 (0 EGAS), AAA 5 (only EGAS00001002873, clonal haematopoiesis in abdominal aortic aneurysm, a different AAA); EBI Search EGA: full name 0, AAA 20 (aneurysm studies only); Europe PMC papers citing an EGA accession: full name 0, aspirin Scotland 0; local tables 0. EGA subset membership looks mistaken."
COHO:0000010	EGA	FOUND	example added	EGAS00001003107		Genome-wide association study of carotid endarterectomy patients: AEGS1	The results of these GWAS need to be validated in independent cohorts and tested for association with subphenotypes. This was the motivation to undertake GWAS experiments in the Athero-Express.	https://ega-archive.org/studies/EGAS00001003107	"Names the cohort (Athero-Express) and its genomics study AEGS1 (a COHO synonym); carotid endarterectomy patients fit the definition. Caveat: the EGA page shows the study as 'pending for release' (no datasets or publications); the local EGA review had rejected the bare 'AEGS1' match. No released alternative: EGA site/EBI Search give 0 hits for AtheroExpress, ""Athero-Express"", ""Athero-Express Biobank"", AEGS1 and endarterectomy (unreleased studies are not indexed); the only Europe PMC paper naming Athero-Express with an EGA accession (PMID:38665903) cites EGAS00001002104, a psoriatic arthritis study."
COHO:0000011	EGA	FOUND	example added	EGAS00001008068	PMID:40402478	Detection of Cancers Three Years prior to Diagnosis Using Plasma Cell-Free DNA.	We here describe such an evaluation, performed on prospectively collected plasma samples from the Atherosclerosis Risk in Communities (ARIC) study, including 26 participants diagnosed with cancer and 26 matched controls.	https://ega-archive.org/studies/EGAS00001008068	Local candidate confirmed: the EGA record names the full cohort name and analysed ARIC plasma samples. The other local candidate, EGAS00001002123 (FXI GWAS meta-analysis of ARIC, GHS, MARTHA and PROCARDIS), also uses ARIC but names it only by acronym.
COHO:0000012	EGA	NOT FOUND	removed from subset						"No EGA study uses the ADRN. EGA site search: ""Atopic Dermatitis Research Network"" 0, ADRN 3 (none atopic dermatitis), ADRN atopic 0, atopic dermatitis 15 (4 EGAS; none mention the network); EBI Search EGA: ""Atopic Dermatitis Research Network"" 0, ADRN 2 (unrelated), atopic dermatitis 11 (none the network); Europe PMC papers citing an EGA accession: ""Atopic Dermatitis Research Network"" 0, ADRN atopic 0; local tables 0. EGA subset membership looks mistaken."
