aggregation_id	aggregation_label	member_name	member_acronym	member_id	member_country	source_url	source_pmid	quote	quote verified	confidence	include	remark
COHO:0000012	Atopic Dermatitis Research Network	Effect of Dupilumab (Anti-IL4Rα) on the Host-Microbe Interface in Atopic Dermatitis	ADRN-09	new	United_States	https://clinicaltrials.gov/api/v2/studies?query.term=%22Atopic%20Dermatitis%20Research%20Network%22&pageSize=100&format=json		Effect of Dupilumab (Anti-IL4Rα) on the Host-Microbe Interface in Atopic Dermatitis	yes	high	yes	Official registry query returned 11 ADRN protocols; NCT03389893; protocol ID DAIT ADRN-09.
COHO:0000012	Atopic Dermatitis Research Network	Atopic Dermatitis Research Network (ADRN) Influenza Vaccine Study	ADRN-05	new	United_States	https://clinicaltrials.gov/api/v2/studies?query.term=%22Atopic%20Dermatitis%20Research%20Network%22&pageSize=100&format=json		Atopic Dermatitis Research Network (ADRN) Influenza Vaccine Study	yes	high	yes	Official registry query returned 11 ADRN protocols; NCT01737710; protocol ID DAIT ADRN-05.
COHO:0000012	Atopic Dermatitis Research Network	Targeted Investigation of Microbiome 2 Treat Atopic Dermatitis (TIME-2)	ADRN-14	new	United_States	https://clinicaltrials.gov/api/v2/studies?query.term=%22Atopic%20Dermatitis%20Research%20Network%22&pageSize=100&format=json		Targeted Investigation of Microbiome 2 Treat Atopic Dermatitis (TIME-2)	yes	high	yes	Official registry query returned 11 ADRN protocols; NCT06504160; protocol ID DAIT ADRN-14.
COHO:0000012	Atopic Dermatitis Research Network	Registry for the Atopic Dermatitis Research Network	ADRN-02	new	United_States	https://clinicaltrials.gov/api/v2/studies?query.term=%22Atopic%20Dermatitis%20Research%20Network%22&pageSize=100&format=json		Registry for the Atopic Dermatitis Research Network	yes	high	yes	Official registry query returned 11 ADRN protocols; NCT01494142; protocol ID DAIT ADRN-02.
COHO:0000012	Atopic Dermatitis Research Network	Etiology of Eczema Herpeticum (EH)	ADRN-06	new	United_States	https://clinicaltrials.gov/api/v2/studies?query.term=%22Atopic%20Dermatitis%20Research%20Network%22&pageSize=100&format=json		Etiology of Eczema Herpeticum (EH)	yes	high	yes	Official registry query returned 11 ADRN protocols; NCT03038932; protocol ID DAIT ADRN-06.
COHO:0000012	Atopic Dermatitis Research Network	Targeted Investigation of Microbiome Elimination	ADRN-13	new	United_States	https://clinicaltrials.gov/api/v2/studies?query.term=%22Atopic%20Dermatitis%20Research%20Network%22&pageSize=100&format=json		Targeted Investigation of Microbiome Elimination	yes	high	yes	Official registry query returned 11 ADRN protocols; NCT05177328; protocol ID DAIT ADRN-13.
COHO:0000012	Atopic Dermatitis Research Network	Targeted Microbiome Transplant in Atopic Dermatitis	ADRN-08	new	United_States	https://clinicaltrials.gov/api/v2/studies?query.term=%22Atopic%20Dermatitis%20Research%20Network%22&pageSize=100&format=json		Targeted Microbiome Transplant in Atopic Dermatitis	yes	high	yes	Official registry query returned 11 ADRN protocols; NCT03151148; protocol ID DAIT ADRN-08.
COHO:0000012	Atopic Dermatitis Research Network	Atopic Dermatitis (AD) and Food Allergy	ADRN-10	new	United_States	https://clinicaltrials.gov/api/v2/studies?query.term=%22Atopic%20Dermatitis%20Research%20Network%22&pageSize=100&format=json		Atopic Dermatitis (AD) and Food Allergy	yes	high	yes	Official registry query returned 11 ADRN protocols; NCT03168113; protocol ID DAIT ADRN-10.
COHO:0000012	Atopic Dermatitis Research Network	Atopic Dermatitis Research Network (ADRN) Influenza Vaccine Pilot	ADRN-03	new	United_States	https://clinicaltrials.gov/api/v2/studies?query.term=%22Atopic%20Dermatitis%20Research%20Network%22&pageSize=100&format=json		Atopic Dermatitis Research Network (ADRN) Influenza Vaccine Pilot	yes	high	yes	Official registry query returned 11 ADRN protocols; NCT01518478; protocol ID DAIT ADRN-03.
COHO:0000012	Atopic Dermatitis Research Network	Interferon Responses in Eczema Herpeticum	ADRN-01	new	United_States	https://clinicaltrials.gov/api/v2/studies?query.term=%22Atopic%20Dermatitis%20Research%20Network%22&pageSize=100&format=json		Interferon Responses in Eczema Herpeticum	yes	high	yes	Official registry query returned 11 ADRN protocols; NCT01429311; protocol ID DAIT ADRN-01.
